became;87;0.06354632307827154%
heard;87;0.06354632307827154%
moment;86;0.06281590557162474%
three;86;0.06281590557162474%
night;85;0.06208548806497794%
much;84;0.06135507055833114%
anything;84;0.06135507055833114%
dark;83;0.060624653051684345%
ran;83;0.060624653051684345%
sitting;82;0.05989423554503755%
towards;82;0.05989423554503755%
barman;81;0.05916381803839074%
air;81;0.05916381803839074%
opened;80;0.058433400531743944%
moon;80;0.058433400531743944%
too;79;0.057702983025097146%
They;79;0.057702983025097146%
looking;79;0.057702983025097146%
evening;79;0.057702983025097146%
Nikolaevich;78;0.05697256551845035%
while;78;0.05697256551845035%
poet;78;0.05697256551845035%
because;78;0.05697256551845035%
So;77;0.05624214801180355%
quite;77;0.05624214801180355%
money;77;0.05624214801180355%
most;77;0.05624214801180355%
appeared;76;0.055511730505156745%
Levi;76;0.055511730505156745%
still;76;0.055511730505156745%
day;75;0.05478131299850995%
At;75;0.05478131299850995%
am;75;0.05478131299850995%
garden;75;0.05478131299850995%
look;73;0.05332047798521635%
great;73;0.05332047798521635%
found;73;0.05332047798521635%
longer;73;0.05332047798521635%
let;73;0.05332047798521635%
old;73;0.05332047798521635%
gave;72;0.05259006047856955%
seen;72;0.05259006047856955%
professor;72;0.05259006047856955%
those;72;0.05259006047856955%
fire;72;0.05259006047856955%
glass;71;0.05185964297192275%
being;71;0.05185964297192275%
exclaimed;71;0.05185964297192275%
understand;71;0.05185964297192275%
someone;71;0.05185964297192275%
life;71;0.05185964297192275%
answered;71;0.05185964297192275%
word;70;0.05112922546527595%
office;69;0.05039880795862915%
later;68;0.049668390451982354%
devil;68;0.049668390451982354%
own;68;0.049668390451982354%
water;67;0.048937972945335556%
things;67;0.048937972945335556%
seemed;67;0.048937972945335556%
Judas;67;0.048937972945335556%
name;66;0.04820755543868875%
shouted;65;0.04747713793204195%
why;65;0.04747713793204195%
Yershalaim;65;0.04747713793204195%
Messire;65;0.04747713793204195%
disappeared;64;0.046746720425395155%
added;64;0.046746720425395155%
covered;64;0.046746720425395155%
another;63;0.04601630291874836%
knew;63;0.04601630291874836%
findirector;63;0.04601630291874836%
Nikolaevna;63;0.04601630291874836%
started;62;0.04528588541210156%
want;62;0.04528588541210156%
After;62;0.04528588541210156%
sort;62;0.04528588541210156%
herself;62;0.04528588541210156%
hall;61;0.04455546790545476%
happened;61;0.04455546790545476%
won;61;0.04455546790545476%
yes;61;0.04455546790545476%
high;61;0.04455546790545476%
struck;60;0.043825050398807956%
As;60;0.043825050398807956%
Variety;60;0.043825050398807956%
Oh;60;0.043825050398807956%
next;60;0.043825050398807956%
citizen;60;0.043825050398807956%
How;60;0.043825050398807956%
soon;60;0.043825050398807956%
else;59;0.04309463289216116%
foreigner;59;0.04309463289216116%
sun;59;0.04309463289216116%
knows;58;0.04236421538551436%
us;58;0.04236421538551436%
Yeshua;58;0.04236421538551436%
wife;58;0.04236421538551436%
heart;58;0.04236421538551436%
bed;58;0.04236421538551436%
Having;57;0.04163379787886756%
lay;57;0.04163379787886756%
balcony;57;0.04163379787886756%
morning;57;0.04163379787886756%
called;56;0.040903380372220764%
hear;56;0.040903380372220764%
side;56;0.040903380372220764%
somewhere;56;0.040903380372220764%
coming;56;0.040903380372220764%
question;55;0.04017296286557396%
make;55;0.04017296286557396%
Why;55;0.04017296286557396%
feet;55;0.04017296286557396%
open;55;0.04017296286557396%
short;54;0.03944254535892716%
precisely;54;0.03944254535892716%
Annushka;54;0.03944254535892716%
case;54;0.03944254535892716%
both;54;0.03944254535892716%
car;54;0.03944254535892716%
gone;53;0.03871212785228036%
quietly;53;0.03871212785228036%
Now;53;0.03871212785228036%
windows;53;0.03871212785228036%
ask;53;0.03871212785228036%
think;52;0.037981710345633565%
far;52;0.037981710345633565%
young;52;0.037981710345633565%
Natasha;52;0.037981710345633565%
artiste;52;0.037981710345633565%
men;52;0.037981710345633565%
along;52;0.037981710345633565%
chairman;51;0.03725129283898677%
To;51;0.03725129283898677%
told;51;0.03725129283898677%
give;51;0.03725129283898677%
strange;51;0.03725129283898677%
anyone;51;0.03725129283898677%
red;51;0.03725129283898677%
half;50;0.03652087533233996%
need;50;0.03652087533233996%
completely;50;0.03652087533233996%
His;50;0.03652087533233996%
stopped;50;0.03652087533233996%
though;50;0.03652087533233996%
turning;50;0.03652087533233996%
arm;50;0.03652087533233996%
secretary;50;0.03652087533233996%
immediately;49;0.035790457825693164%
end;49;0.035790457825693164%
eye;49;0.035790457825693164%
small;49;0.035790457825693164%
taken;49;0.035790457825693164%
spoke;49;0.035790457825693164%
girl;49;0.035790457825693164%
yourself;49;0.035790457825693164%
wall;48;0.035060040319046366%
yet;48;0.035060040319046366%
death;48;0.035060040319046366%
felt;48;0.035060040319046366%
alone;48;0.035060040319046366%
responded;48;0.035060040319046366%
ever;48;0.035060040319046366%
simply;48;0.035060040319046366%
wanted;47;0.03432962281239957%
might;47;0.03432962281239957%
Fagott;47;0.03432962281239957%
broken;47;0.03432962281239957%
past;47;0.03432962281239957%
kept;47;0.03432962281239957%
prisoner;47;0.03432962281239957%
One;47;0.03432962281239957%
unknown;46;0.03359920530575277%
stage;46;0.03359920530575277%
finally;46;0.03359920530575277%
sent;46;0.03359920530575277%
Procurator;46;0.03359920530575277%
chair;46;0.03359920530575277%
Homeless;46;0.03359920530575277%
theatre;46;0.03359920530575277%
God;46;0.03359920530575277%
raised;46;0.03359920530575277%
itself;46;0.03359920530575277%
body;46;0.03359920530575277%
Aphranius;45;0.03286878779910597%
afraid;45;0.03286878779910597%
administrator;45;0.03286878779910597%
world;45;0.03286878779910597%
between;45;0.03286878779910597%
Likhodeev;45;0.03286878779910597%
third;44;0.03213837029245917%
ear;44;0.03213837029245917%
On;44;0.03213837029245917%
terrible;44;0.03213837029245917%
call;44;0.03213837029245917%
d;43;0.03140795278581237%
straight;43;0.03140795278581237%
walked;43;0.03140795278581237%
saying;43;0.03140795278581237%
person;43;0.03140795278581237%
new;43;0.03140795278581237%
speak;43;0.03140795278581237%
set;43;0.03140795278581237%
ten;42;0.03067753527916557%
rose;42;0.03067753527916557%
foot;42;0.03067753527916557%
lane;42;0.03067753527916557%
vanished;42;0.03067753527916557%
doctor;42;0.03067753527916557%
Yalta;42;0.03067753527916557%
believe;42;0.03067753527916557%
temple;42;0.03067753527916557%
darkness;42;0.03067753527916557%
clear;42;0.03067753527916557%
five;42;0.03067753527916557%
sky;42;0.03067753527916557%
hair;42;0.03067753527916557%
thousand;41;0.029947117772518773%
lying;41;0.029947117772518773%
least;41;0.029947117772518773%
neck;41;0.029947117772518773%
leave;41;0.029947117772518773%
We;41;0.029947117772518773%
arms;41;0.029947117772518773%
yesterday;41;0.029947117772518773%
silent;41;0.029947117772518773%
lit;41;0.029947117772518773%
